"","X","Area","Area.S","segment","Julian.Date","Season","Survey","Effort","Beaufort","Glare","Subjective","SST","DEPTH","DIST2SHORE","DIST125","phat","g0_ship","ds_ship","g0_plane","ds_plane","Species_DS_Num","Species_Hab_Num","NSights"
"61",61,100,120.036,"3031356.2011.28",220,2,1,10.003,1,0,3,17.23878098,-314.8956909,226.2978973,8439.903082,0.282396879,0.663167547,0.513698374,-9999,-9999,-9999,1,1
"64",64,100,119.436,"3031120.2011.28",220,2,1,9.953,3.08,0,3,18.62968254,-2175.87793,219.8949432,23454.70203,0.343349472,0.663167547,0.517741668,-9999,-9999,-9999,1,0
"67",67,100,120.144,"3031121.2011.28",220,2,1,10.012,3.224,0,3,18.77693367,-2423.432373,220.8166504,33453.53089,0.347809851,0.663167547,0.524467539,-9999,-9999,-9999,1,0
"70",70,100,90.492,"3031122.2011.28",220,2,1,7.541,3.2,0,3,18.58897781,-2514.202881,221.7507935,43452.89824,0.34706456,0.663167547,0.523343703,-9999,-9999,-9999,1,0
"73",73,100,120.024,"3031596.2011.28",220,2,1,10.002,1.117,0.572,3,17.78567505,-391.2380066,236.2632599,11504.76603,0.285636238,0.663167547,0.430715043,-9999,-9999,-9999,1,11
"76",76,100,120.024,"3031836.2011.28",220,2,1,10.002,1.3,1,3,18.27252007,-685.0845337,246.2287445,15323.42956,0.290750855,0.663167547,0.430715043,-9999,-9999,-9999,1,1
"79",79,100,73.056,"3032076.2011.28",220,2,1,6.088,1.465,1,3,19.16133881,-1215.289429,256.1943665,16408.36255,0.295411931,0.663167547,0.445455953,-9999,-9999,-9999,1,0
"82",82,100,120.012,"3032316.2011.28",220,2,1,10.001,1.5,1,3,20.19264793,-1676.150024,266.1601257,17597.13263,0.29640662,0.663167547,0.446955858,-9999,-9999,-9999,1,0
"85",85,100,120.012,"3033513.2011.28",220,2,1,10.001,3.5,2,3,25.18175507,-1820.907593,287.5846863,25237.85418,0.356433338,0.663167547,0.446955858,-9999,-9999,-9999,1,0
"88",88,100,120,"3032556.2011.28",220,2,1,10,2.445,1.65,3,21.13478661,-1965.618896,276.1259766,20969.56975,0.324023852,0.663167547,0.488600285,-9999,-9999,-9999,1,0
"91",91,100,120.072,"3032796.2011.28",220,2,1,10.006,3.173,1.566,3,21.65580368,-2159.161621,286.0919189,26336.88718,0.346227006,0.663167547,0.522080744,-9999,-9999,-9999,1,0
"94",94,100,86.28,"3033009.2011.28",220,2,1,7.19,1.698,1.913,3,18.71759224,-35.94701767,54.6199379,45354.18917,0.302072625,0.663167547,0.455499709,-9999,-9999,-9999,1,0
"97",97,100,120.54,"3033010.2011.28",220,2,1,10.045,2.674,2.633,3,18.62854195,-35.78149414,62.95832062,39219.31608,0.330926351,0.663167547,0.499008664,-9999,-9999,-9999,1,0
"100",100,100,29.952,"3033011.2011.28",220,2,1,2.496,3,3,3,18.57395363,-52.19848633,71.05708313,34918.57757,0.340883453,0.663167547,0.514023122,-9999,-9999,-9999,1,0
"103",103,100,135.948,"3033033.2011.28",220,2,1,11.329,3.191,1.439,3,23.37242889,-892.6244507,284.2419739,10993.36487,0.346785269,0.663167547,0.522922557,-9999,-9999,-9999,1,0
"106",106,100,118.824,"3033034.2011.28",220,2,1,9.902,3.3,1.101,3,23.22882843,-1619.004028,294.013855,18078.1729,0.350174853,0.663167547,0.528033759,-9999,-9999,-9999,1,1
"109",109,100,121.74,"3033035.2011.28",220,2,1,10.145,3.077,0.682,3,22.97753716,-2033.037598,296.209198,25623.33496,0.34325684,0.663167547,0.517601987,-9999,-9999,-9999,1,0
"112",112,100,91.596,"3033036.2011.28",220,2,1,7.633,2.99,0.649,3,22.87799644,-2316.334229,296.0579529,32817.58347,0.340575812,0.663167547,0.513559227,-9999,-9999,-9999,1,0
"115",115,100,85.572,"3033246.2011.28",220,2,1,7.131,0,0,3,19.15149879,-31.36443329,45.88353348,74677.58275,0.255710989,0.663167547,0.385590324,-9999,-9999,-9999,1,0
"118",118,100,135.84,"3033247.2011.28",220,2,1,11.32,0.986,0,3,19.04079247,-33.92852783,49.37944794,66767.45945,0.282010877,0.663167547,0.425248307,-9999,-9999,-9999,1,0
"121",121,100,121.224,"3033249.2011.28",220,2,1,10.102,1.319,1,3,18.87627602,-41.41379547,61.26766968,53105.53821,0.291285205,0.663167547,0.439233202,-9999,-9999,-9999,1,0
"124",124,100,126,"3033251.2011.28",220,2,1,10.5,1.661,3,3,18.7262001,-55.62042618,76.65504456,44525.30418,0.301008833,0.663167547,0.453895602,-9999,-9999,-9999,1,0
"127",127,100,120.348,"3033273.2011.28",220,2,1,10.029,3.359,1.747,3,24.48270416,-1423.844849,286.086792,18194.17869,0.352015923,0.663167547,0.530809936,-9999,-9999,-9999,1,0
"130",130,100,121.02,"3033485.2011.28",220,2,1,10.085,0,0,3,19.61808777,-32.77368546,53.39452744,70475.96727,0.255710989,0.663167547,0.385590324,-9999,-9999,-9999,1,0
"133",133,100,20.712,"3033486.2011.28",220,2,1,1.726,0,0,3,19.35433197,-39.70394516,54.87792206,71776.34311,0.255710989,0.663167547,0.385590324,-9999,-9999,-9999,1,0
"136",136,100,107.664,"3033487.2011.28",220,2,1,8.972,1,0,3,19.33057976,-41.33373642,58.37332535,73628.04691,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"139",139,100,30,"3033488.2011.28",220,2,1,2.5,1,0,3,19.38690567,-42.32106018,63.02172852,67098.74423,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"142",142,100,121.248,"3033489.2011.28",220,2,1,10.104,1,1,3,19.3448925,-44.60058594,68.40018463,61509.29828,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"145",145,100,88.692,"3033491.2011.28",220,2,1,7.391,2.204,3,3,19.23250389,-54.4897728,82.79460907,54274.28775,0.316845305,0.663167547,0.477775649,-9999,-9999,-9999,1,0
"148",148,100,126.348,"3033725.2011.28",220,2,1,10.529,0.924,1.136,3,19.99640083,-48.05490494,63.38969421,60507.94295,0.280305599,0.663167547,0.422676894,-9999,-9999,-9999,1,0
"151",151,100,206.928,"3033728.2011.28",220,2,1,17.244,0.865,0.269,3,19.98717308,-51.94454193,71.8743515,65996.99968,0.278689157,0.663167547,0.420239438,-9999,-9999,-9999,1,0
"154",154,100,40.068,"3033729.2011.28",220,2,1,3.339,1,1,3,19.79059601,-51.04386139,76.66850281,58933.52128,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"157",157,100,15.468,"3033731.2011.28",220,2,1,1.289,1.7,3,3,19.70562744,-55.87314606,89.46695709,48044.47699,0.302130192,0.663167547,0.455586515,-9999,-9999,-9999,1,0
"160",160,100,126.264,"3033742.2011.28",220,2,1,10.522,4.2,1,2,20.93325996,-94.2911911,183.8411102,10335.99623,0.122542706,0.663167547,0.18478393,-9999,-9999,-9999,1,0
"163",163,100,46.932,"3033743.2011.28",220,2,1,3.911,4.2,1,2,21.28588295,-92.99970245,193.3874512,9956.323999,0.122542706,0.663167547,0.18478393,-9999,-9999,-9999,1,0
"166",166,100,117.792,"3033752.2011.28",220,2,1,9.816,2.8,3,3,25.79661369,-1856.55249,280.1802063,28089.52078,0.334756972,0.663167547,0.504784912,-9999,-9999,-9999,1,0
"169",169,100,92.772,"3033753.2011.28",220,2,1,7.731,2.934,2.679,3,25.82264137,-2124.92041,290.0127869,33175.05402,0.338855562,0.663167547,0.510965236,-9999,-9999,-9999,1,0
"172",172,100,54.456,"3033964.2011.28",220,2,1,4.538,1.799,2,3,20.48579216,-55.42670441,72.91468811,50235.75085,0.304988054,0.663167547,0.459895928,-9999,-9999,-9999,1,0
"175",175,100,82.116,"3033965.2011.28",220,2,1,6.843,1.8,2,3,20.41158295,-58.40432358,73.38514709,50552.5505,0.305017004,0.663167547,0.459939582,-9999,-9999,-9999,1,0
"178",178,100,81.792,"3033968.2011.28",220,2,1,6.816,0.939,0,3,20.56646729,-62.82624435,80.86821747,58004.63459,0.280717542,0.663167547,0.42329807,-9999,-9999,-9999,1,0
"181",181,100,17.808,"3033972.2011.28",220,2,1,1.484,1,3,3,19.92341995,-71.36798096,103.9682999,35275.00539,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"184",184,100,3.96,"3033983.2011.28",220,2,1,0.33,4.2,1,2,22.42283249,-123.7960739,196.9490509,1354.402163,0.122542706,0.663167547,0.18478393,-9999,-9999,-9999,1,0
"187",187,100,65.28,"3034204.2011.28",220,2,1,5.44,1.5,2,3,20.92149734,-66.10813141,82.91090393,40245.00597,0.29640662,0.663167547,0.446955858,-9999,-9999,-9999,1,0
"190",190,100,16.944,"3030886.2011.27",212,2,1,1.412,4.631,0,1.844,18.77310753,-2940.316895,221.6616669,81750.25581,0.105688045,0.663167547,0.159368543,-9999,-9999,-9999,1,0
"193",193,100,120.348,"3031126.2011.27",212,2,1,10.029,4.092,0.203,2,18.91312408,-3058.372314,231.4949036,83274.81985,0.121033147,0.663167547,0.182507644,-9999,-9999,-9999,1,0
"196",196,100,120.036,"3031366.2011.27",212,2,1,10.003,3.923,1,2.256,19.13057899,-3197.5,240.5623779,83997.14768,0.163042201,0.663167547,0.245853708,-9999,-9999,-9999,1,0
"199",199,100,120.036,"3034007.2011.27",212,2,1,10.003,0.9,0,3,24.89369583,-4353.762695,348.9968262,146141.8131,0.279647318,0.663167547,0.245853708,-9999,-9999,-9999,1,0
"202",202,100,120.084,"3031606.2011.27",212,2,1,10.007,3.731,0.692,2.692,19.24073982,-3333.148438,250.5128632,85508.65621,0.264885002,0.663167547,0.399423952,-9999,-9999,-9999,1,0
"205",205,100,120.084,"3032807.2011.27",212,2,1,10.007,3.327,2.618,2,21.93125725,-3980.813721,301.2510681,115559.5804,0.11081049,0.663167547,0.399423952,-9999,-9999,-9999,1,0
"208",208,100,119.352,"3031846.2011.27",212,2,1,9.946,3.727,0.514,2.064,19.57505608,-3431.009766,259.8218689,88122.37714,0.125802661,0.663167547,0.189699665,-9999,-9999,-9999,1,0
"211",211,100,3.06,"3032035.2011.27",212,2,1,0.255,1,0,3,21.6847496,-26.77895355,13.23720074,124530.8306,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"214",214,100,120.06,"3032086.2011.27",212,2,1,10.005,3.94,1,2.507,20.47693253,-3533.142334,269.4140625,91757.16026,0.219849759,0.663167547,0.331514653,-9999,-9999,-9999,1,0
"217",217,100,11.46,"3032274.2011.27",212,2,1,0.955,2.5,2,3,22.16438866,-36.30346298,21.8807106,116824.2356,0.325674533,0.663167547,0.491089371,-9999,-9999,-9999,1,0
"220",220,100,271.464,"3032275.2011.27",212,2,1,22.622,1.778,0.933,3,22.29482079,-39.09059143,22.23320198,114723.9585,0.304380487,0.663167547,0.458979769,-9999,-9999,-9999,1,0
"223",223,100,98.52,"3032276.2011.27",212,2,1,8.21,2.1,0,3,21.99264908,-38.13467026,15.76619434,113110.8091,0.313775423,0.663167547,0.47314653,-9999,-9999,-9999,1,0
"226",226,100,120,"3032326.2011.27",212,2,1,10,3.633,1.584,2.416,21.55666733,-3630.841064,279.3647461,96297.45349,0.191359453,0.663167547,0.288553705,-9999,-9999,-9999,1,0
"229",229,100,131.82,"3032514.2011.27",212,2,1,10.985,2.672,2,3,22.48371124,-42.21797943,24,107136.7453,0.330865733,0.663167547,0.498917256,-9999,-9999,-9999,1,0
"232",232,100,111.72,"3032515.2011.27",212,2,1,9.31,1.77,0.036,3,22.42733192,-36.81903839,28.18684387,104953.5389,0.304149225,0.663167547,0.458631044,-9999,-9999,-9999,1,0
"235",235,100,65.316,"3032516.2011.27",212,2,1,5.443,1.481,0,3,22.10317039,-33.66705704,19.54018402,103187.761,0.295866388,0.663167547,0.446141235,-9999,-9999,-9999,1,0
"238",238,100,130.26,"3032517.2011.27",212,2,1,10.855,1.2,0,3,21.66524887,-30.44733429,12.9764204,102372.7625,0.287948772,0.663167547,0.434202146,-9999,-9999,-9999,1,0
"241",241,100,3.468,"3032518.2011.27",212,2,1,0.289,1.901,3,3,21.20933914,-33.07497025,11.35901833,102531.2201,0.307949386,0.663167547,0.464361362,-9999,-9999,-9999,1,0
"244",244,100,100.476,"3032566.2011.27",212,2,1,8.373,3.396,2,2,21.85684776,-3777.604492,289.1997681,101621.9593,0.111699434,0.663167547,0.168433203,-9999,-9999,-9999,1,0
"247",247,100,19.704,"3032567.2011.27",212,2,1,1.642,3.2,2,2,21.73255348,-3931.906006,291.3019714,110000.8794,0.109191068,0.663167547,0.164650801,-9999,-9999,-9999,1,0
"250",250,100,65.184,"3032754.2011.27",212,2,1,5.432,2.5,2,3,22.72052193,-40.1736908,24.82324982,97512.36895,0.325674533,0.663167547,0.491089371,-9999,-9999,-9999,1,0
"253",253,100,51.12,"3032755.2011.27",212,2,1,4.26,2.803,1,3,22.81993675,-35.93386078,33,95150.91708,0.334848454,0.663167547,0.50492286,-9999,-9999,-9999,1,0
"256",256,100,25.656,"3032756.2011.27",212,2,1,2.138,2.571,1,3,22.57418251,-35.97470474,26.98976326,93281.14846,0.32781211,0.663167547,0.494312653,-9999,-9999,-9999,1,0
"259",259,100,92.388,"3032757.2011.27",212,2,1,7.699,1.856,2.46,3,22.20758057,-38.34540176,22.47850609,92378.7929,0.306640818,0.663167547,0.462388154,-9999,-9999,-9999,1,0
"262",262,100,343.74,"3032758.2011.27",212,2,1,28.645,1.642,1.321,3,21.48408508,-42.9515152,21.35530472,92554.36218,0.300463449,0.663167547,0.45307321,-9999,-9999,-9999,1,0
"265",265,100,22.152,"3032759.2011.27",212,2,1,1.846,0.8,0.748,3,21.24086761,-44.50045776,24.01620674,93420.07091,0.276915499,0.663167547,0.417564913,-9999,-9999,-9999,1,0
"268",268,100,117.24,"3032996.2011.27",212,2,1,9.77,2.465,0,3,22.89510155,-48.55228806,35.52188873,83396.83145,0.324623573,0.663167547,0.489504612,-9999,-9999,-9999,1,0
"271",271,100,138.576,"3032997.2011.27",212,2,1,11.548,2,3,3,22.68108368,-49.65045166,31.96391296,82386.28514,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"274",274,100,95.364,"3032998.2011.27",212,2,1,7.947,2.078,1.985,3,21.94901848,-50.2205162,31.3519783,82583.10152,0.313128218,0.663167547,0.4721706,-9999,-9999,-9999,1,0
"277",277,100,167.328,"3032999.2011.27",212,2,1,13.944,1.211,1.138,3,21.16552734,-49.40237045,33.47633362,83478.10096,0.288256153,0.663167547,0.43466565,-9999,-9999,-9999,1,0
"280",280,100,66.132,"3033000.2011.27",212,2,1,5.511,1,0,3,21.03152657,-48.59251404,38.16413879,85044.44702,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"283",283,100,120.024,"3033047.2011.27",212,2,1,10.002,2.939,3,2.757,21.94688416,-4071.703369,311.2001953,121687.4676,0.262808819,0.663167547,0.396293245,-9999,-9999,-9999,1,0
"286",286,100,120.024,"3035447.2011.27",212,2,1,10.002,2.12,0.157,3,27.17983627,-4567.23584,407.69104,181473.1632,0.314364459,0.663167547,0.396293245,-9999,-9999,-9999,1,0
"289",289,100,120.024,"3036407.2011.27",212,2,1,10.002,2.1,0.327,3,27.68881416,-4662.394531,447.4858398,208631.48,0.313775423,0.663167547,0.396293245,-9999,-9999,-9999,1,0
"292",292,100,202.164,"3033236.2011.27",212,2,1,16.847,2.141,1.772,3,23.17855263,-56.06113052,44.58534622,73543.79779,0.314983627,0.663167547,0.474968398,-9999,-9999,-9999,1,0
"295",295,100,52.908,"3033237.2011.27",212,2,1,4.409,2,3,3,22.80355835,-54.92102432,41.96120453,72395.84756,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"298",298,100,113.784,"3033239.2011.27",212,2,1,9.482,2,1.146,3,21.66950226,-52.70376205,42.74883652,73551.86542,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"301",301,100,19.428,"3033240.2011.27",212,2,1,1.619,1.411,0,3,21.60627937,-52.87411499,46.20249939,75226.90503,0.293881359,0.663167547,0.44314798,-9999,-9999,-9999,1,0
"304",304,100,102.576,"3033241.2011.27",212,2,1,8.548,2.723,0,3,21.55908012,-50.36327362,48.69093323,77866.91423,0.33241332,0.663167547,0.501250886,-9999,-9999,-9999,1,0
"307",307,100,24.876,"3033242.2011.27",212,2,1,2.073,0.8,1,3,21.29948997,-45.40111542,45.27634811,81414.51846,0.276915499,0.663167547,0.417564913,-9999,-9999,-9999,1,0
"310",310,100,120.072,"3033287.2011.27",212,2,1,10.006,2.724,3,3,22.40664101,-4136.000488,320.149353,128303.0112,0.332443703,0.663167547,0.5012967,-9999,-9999,-9999,1,0
"313",313,100,120.072,"3034487.2011.27",212,2,1,10.006,1.938,1,3,26.51775169,-4467.288574,368.89505,156424.7771,0.309027788,0.663167547,0.5012967,-9999,-9999,-9999,1,0
"316",316,100,120.072,"3035207.2011.27",212,2,1,10.006,2.54,1.799,3,26.93927956,-4547.48291,398.1390076,174930.1275,0.326877878,0.663167547,0.5012967,-9999,-9999,-9999,1,0
"319",319,100,16.296,"3033476.2011.27",212,2,1,1.358,2.2,3,3,23.30153847,-57.05884933,54.44580841,63736.55895,0.316726918,0.663167547,0.477597131,-9999,-9999,-9999,1,0
"322",322,100,119.16,"3033479.2011.27",212,2,1,9.93,2.093,0.165,3,22.31033707,-58.05738831,52.65834808,63648.72889,0.313569411,0.663167547,0.472835881,-9999,-9999,-9999,1,0
"325",325,100,13.236,"3033480.2011.27",212,2,1,1.103,2.2,0,3,22.16880798,-54.70285797,55.23495102,65464.61934,0.316726918,0.663167547,0.477597131,-9999,-9999,-9999,1,0
"328",328,100,47.604,"3033481.2011.27",212,2,1,3.967,3.1,0,3,21.99835968,-51.80578613,58.25298691,68482.00898,0.343967325,0.663167547,0.518673337,-9999,-9999,-9999,1,0
"331",331,100,147.144,"3033482.2011.27",212,2,1,12.262,3.068,0.014,3,21.75593948,-47.5722847,55.01633835,72261.08566,0.342979018,0.663167547,0.517183055,-9999,-9999,-9999,1,0
"334",334,100,130.068,"3033483.2011.27",212,2,1,10.839,1.856,1.353,3,21.62720871,-42.89398575,52.46785736,70988.33172,0.306640818,0.663167547,0.462388154,-9999,-9999,-9999,1,0
"337",337,100,87.732,"3033527.2011.27",212,2,1,7.311,2.266,2.276,3,23.03807068,-4192.722656,330.0985107,135332.5199,0.318683501,0.663167547,0.480547491,-9999,-9999,-9999,1,0
"340",340,100,179.616,"3033720.2011.27",212,2,1,14.968,2.405,0.061,3,22.14149284,-58.29835129,65.0980835,55786.6089,0.322826228,0.663167547,0.486794369,-9999,-9999,-9999,1,0
"343",343,100,59.184,"3033721.2011.27",212,2,1,4.932,2.586,0,3,22.35820198,-54.92723083,67.57775116,59139.70306,0.328264669,0.663167547,0.494995074,-9999,-9999,-9999,1,0
"346",346,100,9.24,"3033722.2011.27",212,2,1,0.77,3.1,0,3,22.35918045,-51.06066513,64.43024445,63054.31129,0.343967325,0.663167547,0.518673337,-9999,-9999,-9999,1,0
"349",349,100,133.86,"3033723.2011.27",212,2,1,11.155,2.925,1.985,2.391,22.04135895,-46.91184616,62.45980453,61056.74743,0.171963089,0.663167547,0.259305646,-9999,-9999,-9999,1,0
"352",352,100,60.588,"3033767.2011.27",212,2,1,5.049,0.964,1.925,3,24.00058174,-4276.619141,340.0476685,141780.7779,0.281405,0.663167547,0.424334697,-9999,-9999,-9999,1,0
"355",355,100,87.684,"3033960.2011.27",212,2,1,7.307,2.775,0,3,22.08358002,-63.5518837,74.15216064,46245.80989,0.333995116,0.663167547,0.503636098,-9999,-9999,-9999,1,0
"358",358,100,20.244,"3033963.2011.27",212,2,1,1.687,3.2,2,2,21.94901848,-56.36663055,72.54473114,51151.82952,0.109191068,0.663167547,0.164650801,-9999,-9999,-9999,1,0
"361",361,100,112.296,"3033964.2011.27",212,2,1,9.358,3.2,2,2,21.69808578,-55.42670441,72.91468811,50235.75085,0.109191068,0.663167547,0.164650801,-9999,-9999,-9999,1,0
"364",364,100,57.48,"3034204.2011.27",212,2,1,4.79,3.2,2,2,21.77708054,-66.10813141,82.91090393,40245.00597,0.109191068,0.663167547,0.164650801,-9999,-9999,-9999,1,0
"367",367,100,120.132,"3034247.2011.27",212,2,1,10.011,0.9,0.293,3,25.93174934,-4413.941895,358.9459534,151039.9623,0.279647318,0.663167547,0.421684262,-9999,-9999,-9999,1,0
"370",370,100,120.108,"3034727.2011.27",212,2,1,10.009,2.6,0.386,3,26.84111404,-4469.112305,378.8441162,162238.9037,0.328687357,0.663167547,0.495632452,-9999,-9999,-9999,1,0
"373",373,100,120.156,"3034967.2011.27",212,2,1,10.013,2.6,0.874,3,26.84012413,-4528.958496,388.7516785,168441.9291,0.328687357,0.663167547,0.495632452,-9999,-9999,-9999,1,0
"376",376,100,35.328,"3035185.2011.27",212,2,1,2.944,4.1,2,2,26.50833511,-2561.841797,237.5535126,52397.41218,0.121144391,0.663167547,0.182675392,-9999,-9999,-9999,1,0
"379",379,100,125.484,"3035186.2011.27",212,2,1,10.457,4.228,2.602,2,26.49447441,-2361.707031,246.017807,55730.19084,0.122936815,0.663167547,0.185378214,-9999,-9999,-9999,1,0
"382",382,100,38.772,"3035187.2011.27",212,2,1,3.231,4.513,3,1.967,26.60855865,-2048.238037,254.8954773,57825.07405,0.121854533,0.663167547,0.183746224,-9999,-9999,-9999,1,0
"385",385,100,87.624,"3035427.2011.27",212,2,1,7.302,4.9,3,1,26.58449364,-1659.533936,259.9055176,67683.47621,0.035801142,0.663167547,0.053985064,-9999,-9999,-9999,1,0
"388",388,100,125.94,"3035428.2011.27",212,2,1,10.495,4.9,3,1,26.75618172,-1980.346802,268.6238098,69934.58407,0.035801142,0.663167547,0.053985064,-9999,-9999,-9999,1,0
"391",391,100,125.844,"3035429.2011.27",212,2,1,10.487,4.543,2.426,1.396,26.79464912,-2820.483887,277.1722412,73371.62298,0.058302279,0.663167547,0.087914856,-9999,-9999,-9999,1,0
"394",394,100,56.892,"3035430.2011.27",212,2,1,4.741,3.972,2,2,26.89972496,-3201.429443,285.9675598,77617.82683,0.119375436,0.663167547,0.180007958,-9999,-9999,-9999,1,0
"397",397,100,66.408,"3035646.2011.27",212,2,1,5.534,4.5,1,2,22.53001785,-307.6808472,143.8393555,14514.99933,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
"400",400,100,68.664,"3035670.2011.27",212,2,1,5.722,3.7,1.129,2,26.77152061,-3315.042969,290.6104126,86675.36253,0.115693287,0.663167547,0.174455592,-9999,-9999,-9999,1,0
"403",403,100,125.712,"3035671.2011.27",212,2,1,10.476,3.809,1,2.09,26.78637505,-3423.844482,299.3381958,90172.18578,0.131187293,0.663167547,0.19781923,-9999,-9999,-9999,1,0
"406",406,100,124.788,"3035672.2011.27",212,2,1,10.399,3.277,0.426,3,26.87271118,-3504.596191,308.3936462,93899.70582,0.349458345,0.663167547,0.526953327,-9999,-9999,-9999,1,0
"409",409,100,84.588,"3035673.2011.27",212,2,1,7.049,3.029,0,3,26.96123505,-3691.110107,317.132843,98272.07413,0.341776383,0.663167547,0.515369584,-9999,-9999,-9999,1,0
"412",412,100,101.952,"3035687.2011.27",212,2,1,8.496,2.064,0,3,27.38777161,-4619.961426,417.6398621,188246.4504,0.312716762,0.663167547,0.471550158,-9999,-9999,-9999,1,0
"415",415,100,0.18,"3035886.2011.27",212,2,1,0.015,4.5,1,2,22.80235672,-990.4158936,153.8362274,24077.45037,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
