"","segment","Effort","TRIPID","TripID_Num","survey","Season","SIGHTTIME","USEDINEST","CLOUDCOVERAGE","TURBIDITY","beaufort","SUBJ_WAVG","GLAREMAG_WAVG","CELLAREA_KM2","object","SPECIES","Species_Hab_Num","detected","SIGHTLAT","SIGHTLON","observer","TEAM","OBSERVER_Name","BEHAVIOR","CUE","SWELLHEIGHT","distance","AVAILAFT","TRANSECT","SWIMDIR","size","ECOREGION","survey.1","plat.id","surv.id","Region.Label","Sample.Label","JD"
"11","3021750.2011.29",11.18,"TONE11SUM",3,2,2,20.892,"yes",0,2,3.447,2.5,3,100,27460,"HAPO",-9999,-9999,45.01717758,-66.51098633,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",170,-9999,"SS","NEA",2,2,"2111. TONE11SUM:3021750:28","2098. 3021750",228
"12","3021750.2011.29",11.18,"TONE11SUM",3,2,2,20.892,"yes",0,2,3.447,2.5,3,100,27460,"HAPO",-9999,-9999,45.01717758,-66.51098633,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",170,-9999,"SS","NEA",2,2,"2111. TONE11SUM:3021750:28","2098. 3021750",228
"13","3021750.2011.30",0.831,"TONE11SUM",3,2,2,NA,"",NA,NA,2.4,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8325. TONE11SUM:3021750:29","8148. 3021750",236
"14","3021751.2011.30",7.631,"TONE11SUM",3,2,2,NA,"",NA,NA,2.661,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8326. TONE11SUM:3021751:29","8149. 3021751",236
"15","3021752.2012.39",10.966,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8327. TONE12FAL:3021752:38","8150. 3021752",308
"16","3021753.2012.39",1.404,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8332. TONE12FAL:3021753:38","8155. 3021753",308
"17","3021987.2012.15",0.36,"TONE12SPR",5,2,1,NA,"",NA,NA,3.8,1.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8339. TONE12SPR:3021987:14","8162. 3021987",116
"18","3021987.2011.29",0.22,"TONE11SUM",3,2,2,NA,"",NA,NA,3.8,1,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8340. TONE11SUM:3021987:28","8163. 3021987",228
"19","3021988.2012.15",20.721,"TONE12SPR",5,2,1,14.639,"yes",95,2,3.328,2.171,2.274,100,29289,"HAPO",-9999,-9999,44.92051315,-66.71622467,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/25",270,-9999,"SS","NEA",2,5,"2489. TONE12SPR:3021988:14","2473. 3021988",116
"20","3021988.2012.15",20.721,"TONE12SPR",5,2,1,14.639,"yes",95,2,3.328,2.171,2.274,100,29289,"HAPO",-9999,-9999,44.92051315,-66.71622467,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/25",270,-9999,"SS","NEA",2,5,"2489. TONE12SPR:3021988:14","2473. 3021988",116
"21","3021988.2011.29",21.21,"TONE11SUM",3,2,2,20.13,"yes",0,2,3.542,1.656,3,100,27423,"HAPO",-9999,-9999,44.92472839,-66.71908569,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",90,-9999,"SS","NEA",2,2,"2102. TONE11SUM:3021988:28","2089. 3021988",228
"22","3021988.2011.29",21.21,"TONE11SUM",3,2,2,20.13,"yes",0,2,3.542,1.656,3,100,27423,"HAPO",-9999,-9999,44.92472839,-66.71908569,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",90,-9999,"SS","NEA",2,2,"2102. TONE11SUM:3021988:28","2089. 3021988",228
"23","3021988.2012.39",8.213,"TONE12FAL",6,2,3,18.36,"yes",0,1,3.027,2.513,3,100,28784,"HAPO",-9999,-9999,44.92981339,-66.71031952,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",275,-9999,"SS","NEA",2,4,"2336. TONE12FAL:3021988:38","2321. 3021988",308
"24","3021988.2012.39",8.213,"TONE12FAL",6,2,3,18.36,"yes",0,1,3.027,2.513,3,100,28784,"HAPO",-9999,-9999,44.92981339,-66.71031952,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",275,-9999,"SS","NEA",2,4,"2336. TONE12FAL:3021988:38","2321. 3021988",308
"25","3021989.2012.15",3.522,"TONE12SPR",5,2,1,NA,"",NA,NA,3,2.5,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8343. TONE12SPR:3021989:14","8166. 3021989",116
"26","3021989.2011.29",3.651,"TONE11SUM",3,2,2,20.158,"yes",0,2,2.833,2.774,3,100,27425,"HAPO",-9999,-9999,44.88798904,-66.68016052,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",185,-9999,"SS","NEA",2,2,"2103. TONE11SUM:3021989:28","2090. 3021989",228
"27","3021989.2011.29",3.651,"TONE11SUM",3,2,2,20.151,"yes",0,2,2.833,2.774,3,100,27424,"HAPO",-9999,-9999,44.89814377,-66.69089508,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",0,-9999,"SS","NEA",2,2,"2103. TONE11SUM:3021989:28","2090. 3021989",228
"28","3021989.2011.29",3.651,"TONE11SUM",3,2,2,20.158,"yes",0,2,2.833,2.774,3,100,27425,"HAPO",-9999,-9999,44.88798904,-66.68016052,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",185,-9999,"SS","NEA",2,2,"2103. TONE11SUM:3021989:28","2090. 3021989",228
"29","3021989.2011.29",3.651,"TONE11SUM",3,2,2,20.151,"yes",0,2,2.833,2.774,3,100,27424,"HAPO",-9999,-9999,44.89814377,-66.69089508,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",0,-9999,"SS","NEA",2,2,"2103. TONE11SUM:3021989:28","2090. 3021989",228
"30","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.332,"yes",0,1,3,2.25,3,100,28781,"HAPO",-9999,-9999,44.89313507,-66.66627502,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"31","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.332,"yes",0,1,3,2.25,3,100,28781,"HAPO",-9999,-9999,44.89313507,-66.66627502,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"32","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.331,"yes",0,1,3,2.25,3,100,28780,"HAPO",-9999,-9999,44.89313507,-66.66627502,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",130,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"33","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.331,"yes",0,1,3,2.25,3,100,28780,"HAPO",-9999,-9999,44.89313507,-66.66627502,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",130,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"34","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.332,"yes",0,1,3,2.25,3,100,28782,"HAPO",-9999,-9999,44.89384842,-66.66712952,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",175,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"35","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.339,"yes",0,1,3,2.25,3,100,28783,"HAPO",-9999,-9999,44.90238953,-66.67736816,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"36","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.332,"yes",0,1,3,2.25,3,100,28782,"HAPO",-9999,-9999,44.89384842,-66.66712952,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",175,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"37","3021989.2012.39",6.08,"TONE12FAL",6,2,3,18.339,"yes",0,1,3,2.25,3,100,28783,"HAPO",-9999,-9999,44.90238953,-66.67736816,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2335. TONE12FAL:3021989:38","2320. 3021989",308
"38","3021990.2011.29",7.554,"TONE11SUM",3,2,2,20.822,"yes",0,1,3.5,2.5,3,100,27459,"UNWH",-9999,-9999,44.9070282,-66.45068359,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",0,-9999,"SS","NEA",2,2,"2110. TONE11SUM:3021990:28","2097. 3021990",228
"39","3021990.2011.29",7.554,"TONE11SUM",3,2,2,20.822,"yes",0,1,3.5,2.5,3,100,27459,"UNWH",-9999,-9999,44.9070282,-66.45068359,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",0,-9999,"SS","NEA",2,2,"2110. TONE11SUM:3021990:28","2097. 3021990",228
"40","3021991.2011.29",3.631,"TONE11SUM",3,2,2,20.794,"yes",0,1,3.5,2.5,3,100,27456,"HUWH",-9999,-9999,44.86326981,-66.4267807,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",0,-9999,"SS","NEA",2,2,"2109. TONE11SUM:3021991:28","2096. 3021991",228
"41","3021991.2011.29",3.631,"TONE11SUM",3,2,2,20.794,"yes",0,1,3.5,2.5,3,100,27456,"HUWH",-9999,-9999,44.86326981,-66.4267807,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/59",0,-9999,"SS","NEA",2,2,"2109. TONE11SUM:3021991:28","2096. 3021991",228
"42","3021991.2011.30",6.563,"TONE11SUM",3,2,2,17.147,"yes",30,2,2.8,3,3,100,27576,"HAPO",-9999,-9999,44.91342926,-66.32875061,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/60",250,-9999,"SS","NEA",2,2,"2139. TONE11SUM:3021991:29","2126. 3021991",236
"43","3021991.2011.30",6.563,"TONE11SUM",3,2,2,17.147,"yes",30,2,2.8,3,3,100,27576,"HAPO",-9999,-9999,44.91342926,-66.32875061,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/60",250,-9999,"SS","NEA",2,2,"2139. TONE11SUM:3021991:29","2126. 3021991",236
"44","3021992.2011.30",7.512,"TONE11SUM",3,2,2,NA,"",NA,NA,2.85,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8348. TONE11SUM:3021992:29","8171. 3021992",236
"45","3021993.2012.39",12.459,"TONE12FAL",6,2,3,17.732,"yes",0,1,2.806,2.75,3,100,28771,"HAPO",-9999,-9999,44.85087585,-66.10155487,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",150,-9999,"SS","NEA",2,4,"2329. TONE12FAL:3021993:38","2314. 3021993",308
"46","3021993.2012.39",12.459,"TONE12FAL",6,2,3,17.681,"yes",0,1,2.806,2.75,3,100,28770,"HAPO",-9999,-9999,44.92511749,-66.16468811,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",-1,-9999,"SS","NEA",2,4,"2329. TONE12FAL:3021993:38","2314. 3021993",308
"47","3021993.2012.39",12.459,"TONE12FAL",6,2,3,17.732,"yes",0,1,2.806,2.75,3,100,28771,"HAPO",-9999,-9999,44.85087585,-66.10155487,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",150,-9999,"SS","NEA",2,4,"2329. TONE12FAL:3021993:38","2314. 3021993",308
"48","3021993.2012.39",12.459,"TONE12FAL",6,2,3,17.681,"yes",0,1,2.806,2.75,3,100,28770,"HAPO",-9999,-9999,44.92511749,-66.16468811,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",-1,-9999,"SS","NEA",2,4,"2329. TONE12FAL:3021993:38","2314. 3021993",308
"49","3022227.2011.30",9.342,"TONE11SUM",3,2,2,NA,"",NA,NA,3.386,1.918,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8355. TONE11SUM:3022227:29","8178. 3022227",236
"50","3022228.2012.15",9.22,"TONE12SPR",5,2,1,NA,"",NA,NA,3.766,1.75,2.513,94.681848,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8356. TONE12SPR:3022228:14","8179. 3022228",116
"51","3022228.2011.29",8.761,"TONE11SUM",3,2,2,19.887,"yes",0,2,3.829,1.603,3,94.681848,27420,"HAPO",-9999,-9999,44.82146454,-66.71398926,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/57",200,-9999,"SS","NEA",2,2,"2101. TONE11SUM:3022228:28","2088. 3022228",228
"52","3022228.2011.29",8.761,"TONE11SUM",3,2,2,19.899,"yes",0,2,3.829,1.603,3,94.681848,27421,"HAPO",-9999,-9999,44.84076309,-66.72594452,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/57",240,-9999,"SS","NEA",2,2,"2101. TONE11SUM:3022228:28","2088. 3022228",228
"53","3022228.2011.29",8.761,"TONE11SUM",3,2,2,19.899,"yes",0,2,3.829,1.603,3,94.681848,27421,"HAPO",-9999,-9999,44.84076309,-66.72594452,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/57",240,-9999,"SS","NEA",2,2,"2101. TONE11SUM:3022228:28","2088. 3022228",228
"54","3022228.2011.29",8.761,"TONE11SUM",3,2,2,19.887,"yes",0,2,3.829,1.603,3,94.681848,27420,"HAPO",-9999,-9999,44.82146454,-66.71398926,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/57",200,-9999,"SS","NEA",2,2,"2101. TONE11SUM:3022228:28","2088. 3022228",228
"55","3022229.2012.15",13.532,"TONE12SPR",5,2,1,NA,"",NA,NA,2.838,2.586,1.15,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8357. TONE12SPR:3022229:14","8180. 3022229",116
"56","3022229.2011.29",13.896,"TONE11SUM",3,2,2,NA,"",NA,NA,3.488,2.477,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8358. TONE11SUM:3022229:28","8181. 3022229",228
"57","3022229.2012.39",7.921,"TONE12FAL",6,2,3,18.296,"yes",0,1,3,2.25,3,100,28779,"HAPO",-9999,-9999,44.84645081,-66.61057281,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2334. TONE12FAL:3022229:38","2319. 3022229",308
"58","3022229.2012.39",7.921,"TONE12FAL",6,2,3,18.296,"yes",0,1,3,2.25,3,100,28779,"HAPO",-9999,-9999,44.84645081,-66.61057281,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",-1,-9999,"SS","NEA",2,4,"2334. TONE12FAL:3022229:38","2319. 3022229",308
"59","3022230.2012.15",2.217,"TONE12SPR",5,2,1,NA,"",NA,NA,2.8,2.75,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8361. TONE12SPR:3022230:14","8184. 3022230",116
"60","3022230.2011.29",2.26,"TONE11SUM",3,2,2,NA,"",NA,NA,3.602,2,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8363. TONE11SUM:3022230:28","8186. 3022230",228
"61","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.258,"yes",0,1,3,2.25,3,100,28776,"HAPO",-9999,-9999,44.79853439,-66.55337524,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",110,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"62","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.261,"yes",0,1,3,2.25,3,100,28777,"HAPO",-9999,-9999,44.8021431,-66.55765533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",130,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"63","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.261,"yes",0,1,3,2.25,3,100,28777,"HAPO",-9999,-9999,44.8021431,-66.55765533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",130,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"64","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.248,"yes",0,1,3,2.25,3,100,28775,"HAPO",-9999,-9999,44.78494263,-66.53723145,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",95,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"65","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.258,"yes",0,1,3,2.25,3,100,28776,"HAPO",-9999,-9999,44.79853439,-66.55337524,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",110,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"66","3022230.2012.39",6.367,"TONE12FAL",6,2,3,18.248,"yes",0,1,3,2.25,3,100,28775,"HAPO",-9999,-9999,44.78494263,-66.53723145,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/29",95,-9999,"SS","NEA",2,4,"2333. TONE12FAL:3022230:38","2318. 3022230",308
"67","3022231.2011.29",11.179,"TONE11SUM",3,2,2,20.741,"yes",0,1,3.107,2.5,3,100,27454,"FISE",2,0,44.78232193,-66.38269043,2,"back","PD1","UNKNOWN","Blow",NA,1741,"N","R/59",0,1,"SS","NEA",2,2,"2108. TONE11SUM:3022231:28","2095. 3022231",228
"68","3022231.2011.29",11.179,"TONE11SUM",3,2,2,20.741,"yes",0,1,3.107,2.5,3,100,27454,"FISE",2,1,44.78232193,-66.38269043,1,"front","PD1","UNKNOWN","Blow",NA,1741,"N","R/59",0,1,"SS","NEA",2,2,"2108. TONE11SUM:3022231:28","2095. 3022231",228
"69","3022232.2011.30",6.699,"TONE11SUM",3,2,2,NA,"",NA,NA,2.747,3.211,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8367. TONE11SUM:3022232:29","8190. 3022232",236
"70","3022233.2011.30",7.373,"TONE11SUM",3,2,2,17.051,"yes",30,1,2.503,3.5,3,100,27569,"UNWH",-9999,-9999,44.78753281,-66.18402863,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/60",0,-9999,"SS","NEA",2,2,"2138. TONE11SUM:3022233:29","2125. 3022233",236
"71","3022233.2011.30",7.373,"TONE11SUM",3,2,2,17.051,"yes",30,1,2.503,3.5,3,100,27569,"UNWH",-9999,-9999,44.78753281,-66.18402863,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/60",0,-9999,"SS","NEA",2,2,"2138. TONE11SUM:3022233:29","2125. 3022233",236
"72","3022233.2012.39",2.921,"TONE12FAL",6,2,3,17.748,"yes",0,1,2.8,2.75,3,100,28772,"HAPO",-9999,-9999,44.82807159,-66.08242798,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",170,-9999,"SS","NEA",2,4,"2330. TONE12FAL:3022233:38","2315. 3022233",308
"73","3022233.2012.39",2.921,"TONE12FAL",6,2,3,17.748,"yes",0,1,2.8,2.75,3,100,28772,"HAPO",-9999,-9999,44.82807159,-66.08242798,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/30",170,-9999,"SS","NEA",2,4,"2330. TONE12FAL:3022233:38","2315. 3022233",308
"74","3022234.2012.39",9.522,"TONE12FAL",6,2,3,NA,"",NA,NA,2.965,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8372. TONE12FAL:3022234:38","8195. 3022234",308
"75","3022255.2012.41",23.879,"TONE12FAL",6,2,3,NA,"",NA,NA,3.573,2.374,3,90.493243,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"9049. TONE12FAL:3022255:40","8821. 3022255",324
"76","3022466.2012.15",7.286,"TONE12SPR",5,2,1,NA,"",NA,NA,2.545,3.826,2,68.268485,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"9051. TONE12SPR:3022466:14","8823. 3022466",116
"77","3022467.2011.30",10.736,"TONE11SUM",3,2,2,17.469,"yes",30,2,2.887,1.282,3,89.80067,27582,"HAPO",-9999,-9999,44.7353363,-66.92046356,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/55",30,-9999,"SS","NEA",2,2,"2140. TONE11SUM:3022467:29","2127. 3022467",236
"78","3022467.2011.30",10.736,"TONE11SUM",3,2,2,17.469,"yes",30,2,2.887,1.282,3,89.80067,27582,"HAPO",-9999,-9999,44.7353363,-66.92046356,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/55",30,-9999,"SS","NEA",2,2,"2140. TONE11SUM:3022467:29","2127. 3022467",236
"79","3022469.2012.15",11.435,"TONE12SPR",5,2,1,NA,"",NA,NA,2.911,2.575,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"9055. TONE12SPR:3022469:14","8827. 3022469",116
"80","3022469.2011.29",11.417,"TONE11SUM",3,2,2,NA,"",NA,NA,3.512,2,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"9056. TONE11SUM:3022469:28","8828. 3022469",228
"81","3022470.2012.15",12.617,"TONE12SPR",5,2,1,NA,"",NA,NA,2.905,2.75,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"9058. TONE12SPR:3022470:14","8830. 3022470",116
"82","3022470.2011.29",12.599,"TONE11SUM",3,2,2,20.285,"yes",0,2,3.412,2,3,100,27433,"HAPO",-9999,-9999,44.7142067,-66.49629974,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/58",200,-9999,"SS","NEA",2,2,"2104. TONE11SUM:3022470:28","2091. 3022470",228
